Timestamp,Category,Viewers,Tags,Image_URL
2025-02-23 16:58:44,Just Chatting,564000,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509658-285x380.jpg
2025-02-23 16:58:45,Counter-Strike,314000,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/32399-285x380.jpg
2025-02-23 16:58:45,League of Legends,208000,"RPG, Strategy, MOBA",https://static-cdn.jtvnw.net/ttv-boxart/21779-285x380.jpg
2025-02-23 16:58:45,Dota 2,180000,"Strategy, MOBA, Action",https://static-cdn.jtvnw.net/ttv-boxart/29595-285x380.jpg
2025-02-23 16:58:45,Grand Theft Auto V,163000,"FPS, Shooter",https://static-cdn.jtvnw.net/ttv-boxart/32982_IGDB-285x380.jpg
2025-02-23 16:58:45,VALORANT,109000,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/516575-285x380.jpg
2025-02-23 16:58:45,Rocket League,93400,Driving/Racing Game,https://static-cdn.jtvnw.net/ttv-boxart/30921-285x380.jpg
2025-02-23 16:58:45,Fortnite,80700,"Shooter, RPG, Simulation",https://static-cdn.jtvnw.net/ttv-boxart/33214-285x380.jpg
2025-02-23 16:58:45,Marvel Rivals,63600,"Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/1264310518_IGDB-285x380.jpg
2025-02-23 16:58:46,World of Warcraft,63300,"RPG, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/18122-285x380.jpg
2025-02-23 16:58:46,Kings League,58300,No Tags,https://static-cdn.jtvnw.net/ttv-boxart/1863222988-285x380.jpg
2025-02-23 16:58:46,Minecraft,53500,"Simulation, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/27471_IGDB-285x380.jpg
2025-02-23 16:58:46,World of Tanks,43900,"FPS, Shooter, Simulation",https://static-cdn.jtvnw.net/ttv-boxart/27546-285x380.jpg
2025-02-23 16:58:46,Overwatch 2,44200,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/515025-285x380.jpg
2025-02-23 16:58:46,Path of Exile,37500,"RPG, Action",https://static-cdn.jtvnw.net/ttv-boxart/29307_IGDB-285x380.jpg
2025-02-23 16:58:46,PUBG: BATTLEGROUNDS,32200,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/493057-285x380.jpg
2025-02-23 16:58:46,Apex Legends,31500,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/511224-285x380.jpg
2025-02-23 16:58:47,Mecha BREAK,31200,"Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/723461364_IGDB-285x380.jpg
2025-02-23 16:58:47,Kingdom Come: Deliverance II,28900,"RPG, Simulation",https://static-cdn.jtvnw.net/ttv-boxart/344035090_IGDB-285x380.jpg
2025-02-23 16:58:47,Special Events,27500,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509663-285x380.jpg
2025-02-23 16:58:47,Teamfight Tactics,26500,"Strategy, Card & Board Game",https://static-cdn.jtvnw.net/ttv-boxart/513143-285x380.jpg
2025-02-23 16:58:47,Call of Duty: Warzone,23700,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/512710-285x380.jpg
2025-02-23 16:58:47,EA Sports FC 25,22100,"Simulation, Sports Game",https://static-cdn.jtvnw.net/ttv-boxart/2011938005_IGDB-285x380.jpg
2025-02-23 16:58:47,Sports,21200,IRL,https://static-cdn.jtvnw.net/ttv-boxart/518203-285x380.jpg
2025-02-23 16:58:48,Dead by Daylight,20300,"Strategy, Action, Horror",https://static-cdn.jtvnw.net/ttv-boxart/491487-285x380.jpg
2025-02-23 16:58:48,IRL,20000,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509672-285x380.jpg
2025-02-23 16:58:48,ELDEN RING,19300,"RPG, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/512953_IGDB-285x380.jpg
2025-02-23 16:58:48,TEKKEN 8,17100,"Fighting, Action, Arcade",https://static-cdn.jtvnw.net/ttv-boxart/538054672_IGDB-285x380.jpg
2025-02-23 16:58:48,Hearthstone,16900,"Strategy, Card & Board Game",https://static-cdn.jtvnw.net/ttv-boxart/138585-285x380.jpg
2025-02-23 16:58:48,Barotrauma,16800,"Simulation, Strategy",https://static-cdn.jtvnw.net/ttv-boxart/496735_IGDB-285x380.jpg
